model,accuracy,balanced_accuracy,macro_f1,test_loss,best_val_accuracy
LeNetLikeCNN,0.8888888888888888,0.8874542124542124,0.8848429441727903,0.31269806027412417,0.8814814814814815
ImprovedLeNetCNN,0.9740740740740741,0.9735042735042734,0.9734698634698635,0.05323784602805972,0.9740740740740741
AlexNetSmallCNN,0.9777777777777777,0.9772079772079773,0.9773601664005047,0.057555445842444895,0.9888888888888889
Hybrid_AlexNetFeatures_SVM,0.9888888888888889,0.9886039886039886,0.9887235971575595,,
